67450064,yes
67005060,no
67004059,no
66912629,no
66911992,no
66902072,no
66888619,no
66882651,no
66780376,no
66778314,no
66775964,yes
66770758,no
66770490,no
66770026,no
66769643,no
66769334,no
66767825,no
66764865,no
66763331,no
66762956,no
66761620,no
66760945,no
66760148,yes
66757513,no
66703895,no
66691190,no
66675486,no
66505742,no
66495061,yes
66474287,no
66454681,no
66442725,no
66437375,yes
66400607,no
66397041,no
66395666,no
66387075,yes
66387014,no
66386983,no
66386972,no
66386898,no
66386844,no
66386595,no
66386527,no
66386166,no
66386072,no
66277066,no
66276692,no
66167340,no
66059655,yes
65020401,no
63629989,no
60166171,yes
58838862,no
58838251,no
58824928,no
58824286,no
58799935,no
58671924,no
58671708,yes
58541460,no
58520579,yes
58471111,yes
58366723,no
58366562,no
58366322,no
58279633,yes
58269041,yes
58268856,yes
57760851,no
57760422,yes
57760287,no
57758766,no
57758408,no
57718980,no
57707516,no
57706742,no
57706272,no
57705617,no
57249158,no
