67450064,"",yes
67005060,"",yes
67004059,"",yes
66912629,"",yes
66911992,4,no
66902072,"",yes
66888619,4,no
66882651,4,no
66780376,4,no
66778314,"",yes
66775964,4,no
66770758,"",yes
66770490,4,no
66770026,"",yes
66769643,4,no
66769334,4,no
66767825,4,no
66764865,4,no
66763331,4,no
66762956,4,no
66761620,4,no
66760945,4,no
66760148,"",yes
66757513,4,no
66703895,"",yes
66691190,4,no
66675486,4,no
66505742,4,no
66495061,3,no
66474287,4,no
66454681,3,no
66442725,4,no
66437375,"",yes
66400607,3,no
66397041,3,no
66395666,3,no
66387075,3,no
66387014,3,no
66386983,3,no
66386972,3,no
66386898,3,no
66386844,3,no
66386595,4,no
66386527,4,no
66386166,4,no
66386072,3,no
66277066,"",yes
66276692,3,no
66167340,3,no
66059655,"",yes
65020401,2,no
63629989,"",yes
60166171,1,no
58838862,2,no
58838251,1,no
58824928,1,no
58824286,2,no
58799935,1,no
58671924,1,no
58671708,1,no
58541460,1,no
58520579,1,no
58471111,1,no
58366723,1,no
58366562,1,no
58366322,1,no
58279633,2,no
58269041,"",yes
58268856,1,no
57760851,1,no
57760422,"",yes
57760287,1,no
57758766,1,no
57758408,1,no
57718980,1,no
57707516,1,no
57706742,1,no
57706272,1,no
57705617,1,no
57249158,1,no
